program,IC,Cycles,CPI,Freq(MHz),CT,ET
./programmer/madd_A,2131969743,418123112,0.196121,4304.556669,0.232312,0.097135
./programmer/madd_B,2556613269,2985256919,1.167661,5169.240246,0.193452,0.577504
./programmer/madd_A_O1,403113205,180322198,0.447324,5181.076830,0.193010,0.034804
./programmer/madd_A_O2,403107271,180046948,0.446648,5179.567561,0.193066,0.034761
./programmer/madd_A_O3,117941317,162963577,1.381734,5185.629001,0.192841,0.031426
./programmer/madd_A_O4,117884998,162718368,1.380314,5186.077511,0.192824,0.031376
./programmer/madd_B_O1,611286600,3472692603,5.680957,5181.692522,0.192987,0.670185
./programmer/madd_B_O2,611255184,3477565005,5.689220,5176.773661,0.193171,0.671763
./programmer/madd_B_O3,611428652,3486850663,5.702792,5159.467463,0.193818,0.675816
./programmer/madd_B_O4,611360960,3485189641,5.700707,5175.657824,0.193212,0.673381
./programmer/madd_B_O1,611507204,3490094741,5.707365,5177.390905,0.193147,0.674103
./programmer/madd_B_O2,611381268,3482595169,5.696274,5175.909485,0.193203,0.672847
./programmer/madd_B_O3,611473329,3494476471,5.714847,5175.805993,0.193207,0.675156
./programmer/madd_B_O4,611429881,3485770946,5.701015,5174.584597,0.193252,0.673633
